,date,location,total_vaccinations,people_fully_vaccinated
2516,3/4/21,Louisiana,1139071,401946
2565,3/5/21,Louisiana,1179138,418275
2614,3/6/21,Louisiana,1179915,418865
2663,3/7/21,Louisiana,1180945,419762
2712,3/8/21,Louisiana,1277889,461597
2761,3/9/21,Louisiana,1286353,465217
2810,3/10/21,Louisiana,1309279,475726
2859,3/11/21,Louisiana,1340630,487828
2908,3/12/21,Louisiana,1379998,505211
2957,3/13/21,Louisiana,1464259,540820
3006,3/14/21,Louisiana,1464377,540865
3055,3/15/21,Louisiana,1484459,550112
3104,3/16/21,Louisiana,1494482,554135
3153,3/17/21,Louisiana,1519050,563448
3202,3/18/21,Louisiana,1519659,563914
3251,3/19/21,Louisiana,1587368,588561
3300,3/20/21,Louisiana,1629437,605878
3349,3/21/21,Louisiana,1664443,620467
3398,3/22/21,Louisiana,1688633,628583
3447,3/23/21,Louisiana,1695779,631472
3496,3/24/21,Louisiana,1725080,643026
3545,3/25/21,Louisiana,1756494,655710
3594,3/26/21,Louisiana,1793002,673816
3643,3/27/21,Louisiana,1838055,696039
3692,3/28/21,Louisiana,1882190,719571
3741,3/29/21,Louisiana,1911134,735056
3790,3/30/21,Louisiana,1920242,739320
3839,3/31/21,Louisiana,1963625,758829
18,1/12/21,Maine,54945,4518
67,1/13/21,Maine,57248,5182
116,1/14/21,Maine,61129,
165,1/15/21,Maine,61129,8274
214,1/16/21,Maine,,
263,1/17/21,Maine,,
312,1/18/21,Maine,,
361,1/19/21,Maine,73978,10018
410,1/20/21,Maine,76167,10661
459,1/21/21,Maine,80502,12071
508,1/22/21,Maine,86395,14893
557,1/23/21,Maine,93003,17562
606,1/24/21,Maine,99815,19151
655,1/25/21,Maine,104069,19873
704,1/26/21,Maine,104924,20096
753,1/27/21,Maine,109183,21707
802,1/28/21,Maine,115191,24925
851,1/29/21,Maine,123207,28255
900,1/30/21,Maine,132067,31055
949,1/31/21,Maine,140353,33121
998,2/1/21,Maine,145786,34299
1047,2/2/21,Maine,145786,34299
1096,2/3/21,Maine,145786,34299
1145,2/4/21,Maine,153439,36870
1194,2/5/21,Maine,159236,38542
1243,2/6/21,Maine,168626,40806
1292,2/7/21,Maine,178449,44447
1341,2/8/21,Maine,178449,44447
1390,2/9/21,Maine,187512,47770
1439,2/10/21,Maine,193246,49721
1488,2/11/21,Maine,193246,49721
1537,2/12/21,Maine,193246,49721
1586,2/13/21,Maine,193246,49721
1635,2/14/21,Maine,193246,49721
1684,2/15/21,Maine,,
1733,2/16/21,Maine,238137,64236
1782,2/17/21,Maine,242445,65928
1831,2/18/21,Maine,242445,65928
1880,2/19/21,Maine,268162,75845
1929,2/20/21,Maine,268322,75889
1978,2/21/21,Maine,268693,76101
2027,2/22/21,Maine,297116,92472
2076,2/23/21,Maine,299427,93400
2125,2/24/21,Maine,305362,96565
2174,2/25/21,Maine,305397,96635
2223,2/26/21,Maine,305477,96724
2272,2/27/21,Maine,332358,108382
2321,2/28/21,Maine,332999,108688
2370,3/1/21,Maine,334009,108839
2419,3/2/21,Maine,334325,108916
2468,3/3/21,Maine,334449,108974
2517,3/4/21,Maine,334528,109024
2566,3/5/21,Maine,382117,128080
2615,3/6/21,Maine,398509,134846
2664,3/7/21,Maine,399534,135179
2713,3/8/21,Maine,427445,148712
2762,3/9/21,Maine,432219,152152
2811,3/10/21,Maine,441443,156492
2860,3/11/21,Maine,442593,157423
2909,3/12/21,Maine,476530,172270
2958,3/13/21,Maine,477511,172875
3007,3/14/21,Maine,510397,185511
3056,3/15/21,Maine,523269,190539
3105,3/16/21,Maine,528109,192866
3154,3/17/21,Maine,528359,193048
3203,3/18/21,Maine,528977,193255
3252,3/19/21,Maine,557469,204927
3301,3/20/21,Maine,557814,205315
3350,3/21/21,Maine,558351,205437
3399,3/22/21,Maine,595845,220075
3448,3/23/21,Maine,599693,221699
3497,3/24/21,Maine,599839,221872
3546,3/25/21,Maine,620556,231260
3595,3/26/21,Maine,639773,238772
3644,3/27/21,Maine,656607,247671
3693,3/28/21,Maine,673445,254300
3742,3/29/21,Maine,683925,259329
3791,3/30/21,Maine,687989,260703
3840,3/31/21,Maine,697663,264659
19,1/12/21,Maryland,146231,6663
68,1/13/21,Maryland,178056,12706
117,1/14/21,Maryland,178056,
166,1/15/21,Maryland,194705,15830
215,1/16/21,Maryland,,
264,1/17/21,Maryland,,
313,1/18/21,Maryland,,
362,1/19/21,Maryland,247597,21794
411,1/20/21,Maryland,258146,24355
460,1/21/21,Maryland,271905,28106
509,1/22/21,Maryland,287512,30877
558,1/23/21,Maryland,307411,34090
607,1/24/21,Maryland,338544,37507
656,1/25/21,Maryland,350835,39259
705,1/26/21,Maryland,365519,42228
754,1/27/21,Maryland,389253,48629
803,1/28/21,Maryland,412206,56274
852,1/29/21,Maryland,442565,66582
901,1/30/21,Maryland,475780,76905
950,1/31/21,Maryland,505454,82743
999,2/1/21,Maryland,528301,87039
1048,2/2/21,Maryland,537037,88359
1097,2/3/21,Maryland,546409,91468
1146,2/4/21,Maryland,565821,101425
1195,2/5/21,Maryland,594647,115640
1244,2/6/21,Maryland,626838,129951
1293,2/7/21,Maryland,665025,146335
1342,2/8/21,Maryland,683305,150844
1391,2/9/21,Maryland,692965,154468
1440,2/10/21,Maryland,721159,168844
1489,2/11/21,Maryland,745478,181380
1538,2/12/21,Maryland,778790,197848
1587,2/13/21,Maryland,812231,212923
1636,2/14/21,Maryland,850994,231127
1685,2/15/21,Maryland,,
1734,2/16/21,Maryland,887943,244272
1783,2/17/21,Maryland,903172,253696
1832,2/18/21,Maryland,930567,265183
1881,2/19/21,Maryland,1011323,300029
1930,2/20/21,Maryland,1054467,320657
1979,2/21/21,Maryland,1087762,342271
2028,2/22/21,Maryland,1111529,369686
2077,2/23/21,Maryland,1132483,381870
2126,2/24/21,Maryland,1159983,398749
2175,2/25/21,Maryland,1199143,414970
2224,2/26/21,Maryland,1239644,438535
2273,2/27/21,Maryland,1280675,463613
2322,2/28/21,Maryland,1325977,487671
2371,3/1/21,Maryland,1364145,503576
2420,3/2/21,Maryland,1390370,513499
2469,3/3/21,Maryland,1454494,534605
2518,3/4/21,Maryland,1497538,550801
2567,3/5/21,Maryland,1548380,568160
2616,3/6/21,Maryland,1606378,589659
2665,3/7/21,Maryland,1645609,602926
2714,3/8/21,Maryland,1671778,628959
2763,3/9/21,Maryland,1715039,647080
2812,3/10/21,Maryland,1761081,666478
2861,3/11/21,Maryland,1812309,688419
2910,3/12/21,Maryland,1859444,706296
2959,3/13/21,Maryland,1922161,725097
3008,3/14/21,Maryland,1961982,740659
3057,3/15/21,Maryland,1991188,752735
3106,3/16/21,Maryland,2033434,765676
3155,3/17/21,Maryland,2082976,782003
3204,3/18/21,Maryland,2130973,798449
3253,3/19/21,Maryland,2190923,812403
3302,3/20/21,Maryland,2194556,814202
3351,3/21/21,Maryland,2287975,841642
3400,3/22/21,Maryland,2320073,852814
3449,3/23/21,Maryland,2357211,864158
3498,3/24/21,Maryland,2409705,879431
3547,3/25/21,Maryland,2464830,896207
3596,3/26/21,Maryland,2532593,919958
3645,3/27/21,Maryland,2594534,943997
3694,3/28/21,Maryland,2648201,966962
3743,3/29/21,Maryland,2681526,980397
3792,3/30/21,Maryland,2736823,1007396
3841,3/31/21,Maryland,2809466,1039090
20,1/12/21,Massachusetts,204082,19073
69,1/13/21,Massachusetts,217443,24789
118,1/14/21,Massachusetts,233476,
167,1/15/21,Massachusetts,257175,34885
216,1/16/21,Massachusetts,,
265,1/17/21,Massachusetts,,
314,1/18/21,Massachusetts,,
363,1/19/21,Massachusetts,318877,41053
412,1/20/21,Massachusetts,330490,42062
461,1/21/21,Massachusetts,353117,46247
510,1/22/21,Massachusetts,370627,51662
559,1/23/21,Massachusetts,392967,57869
608,1/24/21,Massachusetts,419806,63096
657,1/25/21,Massachusetts,433615,64648
706,1/26/21,Massachusetts,442703,65761
755,1/27/21,Massachusetts,464275,73152
804,1/28/21,Massachusetts,490332,83637
853,1/29/21,Massachusetts,520504,96373
902,1/30/21,Massachusetts,547082,106799
951,1/31/21,Massachusetts,579181,116315
1000,2/1/21,Massachusetts,608947,122652
1049,2/2/21,Massachusetts,625477,126560
1098,2/3/21,Massachusetts,625477,126560
1147,2/4/21,Massachusetts,652929,134311
1196,2/5/21,Massachusetts,685074,143690
1245,2/6/21,Massachusetts,727120,153692
1294,2/7/21,Massachusetts,780268,169148
1343,2/8/21,Massachusetts,806376,174437
1392,2/9/21,Massachusetts,832242,181280
1441,2/10/21,Massachusetts,883945,194968
1490,2/11/21,Massachusetts,924612,207392
1539,2/12/21,Massachusetts,962711,218795
1588,2/13/21,Massachusetts,1009560,235910
1637,2/14/21,Massachusetts,1085584,259760
1686,2/15/21,Massachusetts,,
1735,2/16/21,Massachusetts,1146860,280622
1784,2/17/21,Massachusetts,1170398,288309
1833,2/18/21,Massachusetts,1214821,299871
1882,2/19/21,Massachusetts,1316402,326108
1931,2/20/21,Massachusetts,1375439,343624
1980,2/21/21,Massachusetts,1426512,367709
2029,2/22/21,Massachusetts,1468992,382100
2078,2/23/21,Massachusetts,1500077,392631
2127,2/24/21,Massachusetts,1533534,407380
2176,2/25/21,Massachusetts,1576657,424922
2225,2/26/21,Massachusetts,1625459,445006
2274,2/27/21,Massachusetts,1684341,471242
2323,2/28/21,Massachusetts,1735916,496356
2372,3/1/21,Massachusetts,1803528,523119
2421,3/2/21,Massachusetts,1837816,538986
2470,3/3/21,Massachusetts,1884139,557064
2519,3/4/21,Massachusetts,1941018,578386
2568,3/5/21,Massachusetts,2005708,605400
2617,3/6/21,Massachusetts,2082052,636626
2666,3/7/21,Massachusetts,2148356,663148
2715,3/8/21,Massachusetts,2199086,695094
2764,3/9/21,Massachusetts,2226167,706965
2813,3/10/21,Massachusetts,2313916,749328
2862,3/11/21,Massachusetts,2376322,776259
2911,3/12/21,Massachusetts,2443419,811452
2960,3/13/21,Massachusetts,2561749,874031
3009,3/14/21,Massachusetts,2561749,874199
3058,3/15/21,Massachusetts,2620671,904685
3107,3/16/21,Massachusetts,2633498,911506
3156,3/17/21,Massachusetts,2710203,942557
3205,3/18/21,Massachusetts,2773542,969041
3254,3/19/21,Massachusetts,2837941,994623
3303,3/20/21,Massachusetts,2909219,1021600
3352,3/21/21,Massachusetts,2972826,1044985
3401,3/22/21,Massachusetts,3032996,1069066
3450,3/23/21,Massachusetts,3066115,1084737
3499,3/24/21,Massachusetts,3131419,1110288
3548,3/25/21,Massachusetts,3196050,1137413
3597,3/26/21,Massachusetts,3270796,1166923
3646,3/27/21,Massachusetts,3345239,1196939
3695,3/28/21,Massachusetts,3424253,1227553
3744,3/29/21,Massachusetts,3495331,1256616
3793,3/30/21,Massachusetts,3535818,1275456
3842,3/31/21,Massachusetts,3611067,1307031
21,1/12/21,Michigan,227685,19472
70,1/13/21,Michigan,291519,31937
119,1/14/21,Michigan,327235,
168,1/15/21,Michigan,364182,48536
217,1/16/21,Michigan,,
266,1/17/21,Michigan,,
315,1/18/21,Michigan,,
364,1/19/21,Michigan,483592,62780
413,1/20/21,Michigan,508607,70535
462,1/21/21,Michigan,548844,81014
511,1/22/21,Michigan,595454,92473
560,1/23/21,Michigan,652661,105890
609,1/24/21,Michigan,695273,111243
658,1/25/21,Michigan,727437,116840
707,1/26/21,Michigan,742270,119962
756,1/27/21,Michigan,772031,131282
805,1/28/21,Michigan,814416,143757
854,1/29/21,Michigan,866663,159723
903,1/30/21,Michigan,922423,175117
952,1/31/21,Michigan,977030,190777
1001,2/1/21,Michigan,1005544,197770
1050,2/2/21,Michigan,1015483,200265
1099,2/3/21,Michigan,1042268,214234
1148,2/4/21,Michigan,1078808,229373
1197,2/5/21,Michigan,1134175,252963
1246,2/6/21,Michigan,1193181,282345
1295,2/7/21,Michigan,1251940,312240
1344,2/8/21,Michigan,1282375,328801
1393,2/9/21,Michigan,1309883,343580
1442,2/10/21,Michigan,1358924,371358
1491,2/11/21,Michigan,1412047,398177
1540,2/12/21,Michigan,1465627,425663
1589,2/13/21,Michigan,1537856,459336
1638,2/14/21,Michigan,1604973,490997
1687,2/15/21,Michigan,,
1736,2/16/21,Michigan,1657007,515237
1785,2/17/21,Michigan,1680901,526520
1834,2/18/21,Michigan,1718790,545553
1883,2/19/21,Michigan,1833886,591771
1932,2/20/21,Michigan,1884038,617751
1981,2/21/21,Michigan,1933648,647617
2030,2/22/21,Michigan,1972201,681226
2079,2/23/21,Michigan,1985511,688417
2128,2/24/21,Michigan,2044496,716292
2177,2/25/21,Michigan,2103114,751675
2226,2/26/21,Michigan,2165950,780148
2275,2/27/21,Michigan,2245696,815724
2324,2/28/21,Michigan,2318415,842942
2373,3/1/21,Michigan,2357259,859526
2422,3/2/21,Michigan,2389534,870088
2471,3/3/21,Michigan,2423899,879863
2520,3/4/21,Michigan,2476796,904341
2569,3/5/21,Michigan,2555112,930381
2618,3/6/21,Michigan,2637353,955377
2667,3/7/21,Michigan,2716893,980255
2716,3/8/21,Michigan,2765577,1002567
2765,3/9/21,Michigan,2787289,1009603
2814,3/10/21,Michigan,2831319,1025697
2863,3/11/21,Michigan,2899309,1050447
2912,3/12/21,Michigan,2983009,1082171
2961,3/13/21,Michigan,3076878,1115924
3010,3/14/21,Michigan,3166094,1156819
3059,3/15/21,Michigan,3170085,1160803
3108,3/16/21,Michigan,3245598,1191877
3157,3/17/21,Michigan,3310710,1216351
3206,3/18/21,Michigan,3396328,1243440
3255,3/19/21,Michigan,3484418,1282070
3304,3/20/21,Michigan,3589255,1325005
3353,3/21/21,Michigan,3681378,1364521
3402,3/22/21,Michigan,3747788,1392828
3451,3/23/21,Michigan,3776838,1404164
3500,3/24/21,Michigan,3841144,1429276
3549,3/25/21,Michigan,3914742,1458881
3598,3/26/21,Michigan,4006900,1502636
3647,3/27/21,Michigan,4114426,1561981
3696,3/28/21,Michigan,4214787,1616040
3745,3/29/21,Michigan,4295979,1647950
3794,3/30/21,Michigan,4329057,1661102
3843,3/31/21,Michigan,4419793,1693046
22,1/12/21,Minnesota,162240,9798
71,1/13/21,Minnesota,165355,10426
120,1/14/21,Minnesota,179684,
169,1/15/21,Minnesota,198253,27799
218,1/16/21,Minnesota,,
267,1/17/21,Minnesota,,
316,1/18/21,Minnesota,,
365,1/19/21,Minnesota,251535,42116
414,1/20/21,Minnesota,252548,42384
463,1/21/21,Minnesota,259417,46008
512,1/22/21,Minnesota,278234,53940
561,1/23/21,Minnesota,305297,64768
610,1/24/21,Minnesota,321180,67716
659,1/25/21,Minnesota,346864,72266
708,1/26/21,Minnesota,360442,72622
757,1/27/21,Minnesota,375395,75844
806,1/28/21,Minnesota,403640,87269
855,1/29/21,Minnesota,440350,98634
904,1/30/21,Minnesota,485850,107528
953,1/31/21,Minnesota,518744,114255
1002,2/1/21,Minnesota,546330,118959
1051,2/2/21,Minnesota,552701,119631
1100,2/3/21,Minnesota,552701,119631
1149,2/4/21,Minnesota,634453,131728
1198,2/5/21,Minnesota,634453,131728
1247,2/6/21,Minnesota,703366,150576
1296,2/7/21,Minnesota,729088,157277
1345,2/8/21,Minnesota,745290,160794
1394,2/9/21,Minnesota,745290,160794
1443,2/10/21,Minnesota,745290,160794
1492,2/11/21,Minnesota,754262,176482
1541,2/12/21,Minnesota,787006,188872
1590,2/13/21,Minnesota,831483,205958
1639,2/14/21,Minnesota,870743,224005
1688,2/15/21,Minnesota,,
1737,2/16/21,Minnesota,908875,236228
1786,2/17/21,Minnesota,925182,240414
1835,2/18/21,Minnesota,957275,257283
1884,2/19/21,Minnesota,1051784,293643
1933,2/20/21,Minnesota,1097316,321228
1982,2/21/21,Minnesota,1136840,344300
2031,2/22/21,Minnesota,1138309,346167
2080,2/23/21,Minnesota,1170259,366321
2129,2/24/21,Minnesota,1189101,375311
2178,2/25/21,Minnesota,1218799,390829
2227,2/26/21,Minnesota,1261762,411197
2276,2/27/21,Minnesota,1322288,436564
2325,2/28/21,Minnesota,1393985,455544
2374,3/1/21,Minnesota,1429631,469986
2423,3/2/21,Minnesota,1443875,476415
2472,3/3/21,Minnesota,1477533,488337
2521,3/4/21,Minnesota,1512877,503513
2570,3/5/21,Minnesota,1562547,523861
2619,3/6/21,Minnesota,1627997,547744
2668,3/7/21,Minnesota,1681447,564791
2717,3/8/21,Minnesota,1725656,592955
2766,3/9/21,Minnesota,1746992,603801
2815,3/10/21,Minnesota,1771967,617550
2864,3/11/21,Minnesota,1823592,646257
2913,3/12/21,Minnesota,1874674,664825
2962,3/13/21,Minnesota,2000813,715226
3011,3/14/21,Minnesota,2000939,715550
3060,3/15/21,Minnesota,2037382,734565
3109,3/16/21,Minnesota,2046151,739883
3158,3/17/21,Minnesota,2080648,758802
3207,3/18/21,Minnesota,2119439,777983
3256,3/19/21,Minnesota,2180483,803611
3305,3/20/21,Minnesota,2244149,832585
3354,3/21/21,Minnesota,2306429,857358
3403,3/22/21,Minnesota,2340900,869465
3452,3/23/21,Minnesota,2353672,874480
3501,3/24/21,Minnesota,2380640,884027
3550,3/25/21,Minnesota,2417606,900932
3599,3/26/21,Minnesota,2479001,927046
3648,3/27/21,Minnesota,2557970,960958
3697,3/28/21,Minnesota,2632176,1001877
3746,3/29/21,Minnesota,2665779,1018107
3795,3/30/21,Minnesota,2702080,1031750
3844,3/31/21,Minnesota,2751928,1060778
23,1/12/21,Mississippi,54544,4832
72,1/13/21,Mississippi,61289,5722
121,1/14/21,Mississippi,71848,
170,1/15/21,Mississippi,84328,8396
219,1/16/21,Mississippi,,
268,1/17/21,Mississippi,,
317,1/18/21,Mississippi,,
366,1/19/21,Mississippi,113572,9545
415,1/20/21,Mississippi,122586,9979
464,1/21/21,Mississippi,136691,11567
513,1/22/21,Mississippi,150524,13423
562,1/23/21,Mississippi,150524,13423
611,1/24/21,Mississippi,177636,15918
660,1/25/21,Mississippi,180960,16034
709,1/26/21,Mississippi,182013,16134
758,1/27/21,Mississippi,190239,17499
807,1/28/21,Mississippi,201247,19475
856,1/29/21,Mississippi,212748,21354
905,1/30/21,Mississippi,222487,22816
954,1/31/21,Mississippi,236401,24455
1003,2/1/21,Mississippi,238859,25077
1052,2/2/21,Mississippi,240125,25408
1101,2/3/21,Mississippi,250905,27786
1150,2/4/21,Mississippi,250905,27786
1199,2/5/21,Mississippi,275884,37572
1248,2/6/21,Mississippi,300464,47607
1297,2/7/21,Mississippi,321032,56140
1346,2/8/21,Mississippi,327429,59325
1395,2/9/21,Mississippi,329079,60237
1444,2/10/21,Mississippi,345507,67829
1493,2/11/21,Mississippi,365400,78802
1542,2/12/21,Mississippi,386333,89697
1591,2/13/21,Mississippi,407723,103462
1640,2/14/21,Mississippi,427198,114284
1689,2/15/21,Mississippi,,
1738,2/16/21,Mississippi,438364,119684
1787,2/17/21,Mississippi,438364,119684
1836,2/18/21,Mississippi,438364,119684
1885,2/19/21,Mississippi,474304,131916
1934,2/20/21,Mississippi,481424,135591
1983,2/21/21,Mississippi,491117,140550
2032,2/22/21,Mississippi,499055,148214
2081,2/23/21,Mississippi,505655,151492
2130,2/24/21,Mississippi,525462,162441
2179,2/25/21,Mississippi,525981,163033
2228,2/26/21,Mississippi,567276,185527
2277,2/27/21,Mississippi,593453,197908
2326,2/28/21,Mississippi,619251,210798
2375,3/1/21,Mississippi,637116,220044
2424,3/2/21,Mississippi,646440,224099
2473,3/3/21,Mississippi,665772,232494
2522,3/4/21,Mississippi,685610,241445
2571,3/5/21,Mississippi,710560,251916
2620,3/6/21,Mississippi,736826,259941
2669,3/7/21,Mississippi,764699,269236
2718,3/8/21,Mississippi,776272,278797
2767,3/9/21,Mississippi,780649,280373
2816,3/10/21,Mississippi,801306,289830
2865,3/11/21,Mississippi,823604,298373
2914,3/12/21,Mississippi,824528,298916
2963,3/13/21,Mississippi,896984,326150
3012,3/14/21,Mississippi,896984,326212
3061,3/15/21,Mississippi,904066,329254
3110,3/16/21,Mississippi,906140,329647
3159,3/17/21,Mississippi,921413,335856
3208,3/18/21,Mississippi,940902,343155
3257,3/19/21,Mississippi,948679,345733
3306,3/20/21,Mississippi,972123,355649
3355,3/21/21,Mississippi,996498,366074
3404,3/22/21,Mississippi,1002292,368968
3453,3/23/21,Mississippi,1004562,370096
3502,3/24/21,Mississippi,1025205,380419
3551,3/25/21,Mississippi,1049528,392516
3600,3/26/21,Mississippi,1050114,393105
3649,3/27/21,Mississippi,1092577,413621
3698,3/28/21,Mississippi,1094028,414910
3747,3/29/21,Mississippi,1134229,437795
3796,3/30/21,Mississippi,1137212,439203
3845,3/31/21,Mississippi,1158505,450944
24,1/12/21,Missouri,161784,22155
73,1/13/21,Missouri,161784,22155
122,1/14/21,Missouri,175314,
171,1/15/21,Missouri,190447,36525
220,1/16/21,Missouri,,
269,1/17/21,Missouri,,
318,1/18/21,Missouri,,
367,1/19/21,Missouri,236254,45368
416,1/20/21,Missouri,244476,49330
465,1/21/21,Missouri,265382,58782
514,1/22/21,Missouri,285697,66699
563,1/23/21,Missouri,291723,68466
612,1/24/21,Missouri,317737,73248
661,1/25/21,Missouri,335695,75823
710,1/26/21,Missouri,340273,76467
759,1/27/21,Missouri,358150,79526
808,1/28/21,Missouri,382552,85827
857,1/29/21,Missouri,408441,92389
906,1/30/21,Missouri,408441,92389
955,1/31/21,Missouri,444384,100237
1004,2/1/21,Missouri,462202,103241
1053,2/2/21,Missouri,466406,104063
1102,2/3/21,Missouri,482112,106842
1151,2/4/21,Missouri,505207,112106
1200,2/5/21,Missouri,536188,118308
1249,2/6/21,Missouri,583949,129273
1298,2/7/21,Missouri,625152,141134
1347,2/8/21,Missouri,643439,146137
1396,2/9/21,Missouri,646863,147466
1445,2/10/21,Missouri,669658,154987
1494,2/11/21,Missouri,694992,163157
1543,2/12/21,Missouri,717483,172953
1592,2/13/21,Missouri,806902,205645
1641,2/14/21,Missouri,848026,225467
1690,2/15/21,Missouri,,
1739,2/16/21,Missouri,878941,238767
1788,2/17/21,Missouri,892006,244879
1837,2/18/21,Missouri,915475,259295
1886,2/19/21,Missouri,1014248,295456
1935,2/20/21,Missouri,1042872,308971
1984,2/21/21,Missouri,1083721,336446
2033,2/22/21,Missouri,1103908,329170
2082,2/23/21,Missouri,1110913,332996
2131,2/24/21,Missouri,1137233,346732
2180,2/25/21,Missouri,1167787,364131
2229,2/26/21,Missouri,1213449,379109
2278,2/27/21,Missouri,1278087,411845
2327,2/28/21,Missouri,1279404,412856
2376,3/1/21,Missouri,1375027,443345
2425,3/2/21,Missouri,1384067,445647
2474,3/3/21,Missouri,1415806,457221
2523,3/4/21,Missouri,1458439,475411
2572,3/5/21,Missouri,1504236,493114
2621,3/6/21,Missouri,1552157,509879
2670,3/7/21,Missouri,1600118,525890
2719,3/8/21,Missouri,1633864,541587
2768,3/9/21,Missouri,1647096,544220
2817,3/10/21,Missouri,1685362,564507
2866,3/11/21,Missouri,1724580,581876
2915,3/12/21,Missouri,1759789,598136
2964,3/13/21,Missouri,1867231,632916
3013,3/14/21,Missouri,1867231,633641
3062,3/15/21,Missouri,1897083,647356
3111,3/16/21,Missouri,1907859,651541
3160,3/17/21,Missouri,1939762,663018
3209,3/18/21,Missouri,1989274,681207
3258,3/19/21,Missouri,2033873,697962
3307,3/20/21,Missouri,2087816,715623
3356,3/21/21,Missouri,2143727,736928
3405,3/22/21,Missouri,2174546,751322
3454,3/23/21,Missouri,2192811,758154
3503,3/24/21,Missouri,2229686,771381
3552,3/25/21,Missouri,2276318,789831
3601,3/26/21,Missouri,2317440,810307
3650,3/27/21,Missouri,2371541,836598
3699,3/28/21,Missouri,2430704,868835
3748,3/29/21,Missouri,2464910,888800
3797,3/30/21,Missouri,2481467,899208
3846,3/31/21,Missouri,2524827,924402
25,1/12/21,Montana,42083,5843
74,1/13/21,Montana,44063,6823
123,1/14/21,Montana,46620,
172,1/15/21,Montana,49364,8193
221,1/16/21,Montana,,
270,1/17/21,Montana,,
319,1/18/21,Montana,,
368,1/19/21,Montana,55893,8671
417,1/20/21,Montana,57220,9121
466,1/21/21,Montana,60389,9962
515,1/22/21,Montana,66348,11878
564,1/23/21,Montana,72544,13235
613,1/24/21,Montana,76590,14071
662,1/25/21,Montana,77356,14111
711,1/26/21,Montana,77748,14245
760,1/27/21,Montana,81169,15397
809,1/28/21,Montana,86213,18149
858,1/29/21,Montana,92589,21007
907,1/30/21,Montana,99272,23785
956,1/31/21,Montana,104525,24885
1005,2/1/21,Montana,106145,25438
1054,2/2/21,Montana,107324,25824
1103,2/3/21,Montana,110374,26345
1152,2/4/21,Montana,116148,28942
1201,2/5/21,Montana,122536,30749
1250,2/6/21,Montana,130883,34207
1299,2/7/21,Montana,137765,36195
1348,2/8/21,Montana,139273,36596
1397,2/9/21,Montana,140124,36907
1446,2/10/21,Montana,144343,37966
1495,2/11/21,Montana,149339,39710
1544,2/12/21,Montana,157695,41895
1593,2/13/21,Montana,167360,44935
1642,2/14/21,Montana,176810,48739
1691,2/15/21,Montana,,
1740,2/16/21,Montana,181665,50311
1789,2/17/21,Montana,184579,51293
1838,2/18/21,Montana,190070,53250
1887,2/19/21,Montana,221225,62657
1936,2/20/21,Montana,228890,66619
1985,2/21/21,Montana,237099,70876
2034,2/22/21,Montana,240814,72225
2083,2/23/21,Montana,243015,73053
2132,2/24/21,Montana,246626,75207
2181,2/25/21,Montana,252295,78148
2230,2/26/21,Montana,260990,81811
2279,2/27/21,Montana,271075,87239
2328,2/28/21,Montana,281422,92720
2377,3/1/21,Montana,284679,93750
2426,3/2/21,Montana,286163,94683
2475,3/3/21,Montana,291572,97027
2524,3/4/21,Montana,301007,101700
2573,3/5/21,Montana,312296,107265
2622,3/6/21,Montana,324102,113545
2671,3/7/21,Montana,337005,120103
2720,3/8/21,Montana,341554,122866
2769,3/9/21,Montana,343597,123617
2818,3/10/21,Montana,349631,126093
2867,3/11/21,Montana,359446,131017
2916,3/12/21,Montana,370463,136470
2965,3/13/21,Montana,383241,143387
3014,3/14/21,Montana,395770,148811
3063,3/15/21,Montana,398858,150873
3112,3/16/21,Montana,401716,152426
3161,3/17/21,Montana,406867,154190
3210,3/18/21,Montana,414258,156863
3259,3/19/21,Montana,422946,160293
3308,3/20/21,Montana,433315,164540
3357,3/21/21,Montana,443030,168240
3406,3/22/21,Montana,447675,170526
3455,3/23/21,Montana,447693,170551
3504,3/24/21,Montana,455003,172922
3553,3/25/21,Montana,463857,175996
3602,3/26/21,Montana,475058,180886
3651,3/27/21,Montana,487221,186055
3700,3/28/21,Montana,499029,192701
3749,3/29/21,Montana,502390,194738
3798,3/30/21,Montana,504919,195804
3847,3/31/21,Montana,522897,205138
26,1/12/21,Nebraska,74439,8459
75,1/13/21,Nebraska,79699,10529
124,1/14/21,Nebraska,84920,
173,1/15/21,Nebraska,91195,13050
222,1/16/21,Nebraska,,
271,1/17/21,Nebraska,,
320,1/18/21,Nebraska,,
369,1/19/21,Nebraska,103689,13860
418,1/20/21,Nebraska,106283,14463
467,1/21/21,Nebraska,111841,16206
516,1/22/21,Nebraska,118450,18086
565,1/23/21,Nebraska,124069,19646
614,1/24/21,Nebraska,132846,22175
663,1/25/21,Nebraska,134033,22547
712,1/26/21,Nebraska,135131,23065
761,1/27/21,Nebraska,139573,24598
810,1/28/21,Nebraska,150019,32380
859,1/29/21,Nebraska,158370,37350
908,1/30/21,Nebraska,167276,41093
957,1/31/21,Nebraska,177711,43712
1006,2/1/21,Nebraska,180917,45716
1055,2/2/21,Nebraska,182412,46523
1104,2/3/21,Nebraska,188285,48889
1153,2/4/21,Nebraska,195126,52390
1202,2/5/21,Nebraska,204136,55313
1251,2/6/21,Nebraska,218405,59985
1300,2/7/21,Nebraska,230874,66018
1349,2/8/21,Nebraska,234061,67636
1398,2/9/21,Nebraska,235298,68056
